Galaxy ID,Time Since Last Major Merger [Gyr],Number of Major Mergers,Numbber of Minor Mergers
17229,0.9266483383810105,4,3
17230,11.317040961531216,4,6
17231,11.472636476156389,3,7
17232,10.398502407966777,4,3
17233,13.056632387368863,1,3
17234,12.55480493374341,3,2
17235,10.398502407966777,5,3
17236,8.841999739310916,3,8
17237,12.62066479053492,2,3
17238,9.78178393942305,3,6
17239,10.555201291724902,3,1
17240,13.14922900936169,2,2
17241,12.698000090258518,6,1
17242,12.445128288561726,2,4
17243,13.104017017822397,2,3
17244,11.164723670049518,3,2
17245,13.198853574391512,2,1
17246,11.903627662592406,5,4
17247,5.989919683560276,3,3
17248,12.182845139342968,1,3
17249,11.766835879457043,3,3
17250,11.472636476156389,4,5
17251,9.017171205041503,4,4
17252,9.155686374365665,7,3
17253,12.361172370658442,3,2
17254,13.14922900936169,4,2
17255,13.8,0,5
17256,12.804875891454154,1,2
17257,10.398502407966777,4,2
17258,5.060286141005806,5,2
17260,11.56482052958491,2,2
17261,11.317040961531216,1,2
17262,10.71425401075792,3,5
17263,10.71425401075792,2,1
17265,12.62066479053492,3,2
17266,9.462953435380172,7,3
17267,12.445128288561726,2,7
17268,12.445128288561726,3,3
17269,10.860805387276075,2,3
17270,13.104017017822397,2,3
17271,10.860805387276075,7,1
17272,13.230111772921886,1,1
17273,11.164723670049518,6,0
17274,7.5813644077819715,4,2
17275,10.860805387276075,2,4
17276,9.017171205041503,7,2
17277,8.559304846246299,10,2
17281,12.894981355405132,2,1
17283,12.977660855576495,1,2
17284,7.1271910119321165,5,2
17286,12.804875891454154,1,1
17291,11.56482052958491,5,2
17293,12.259335340432736,5,0
17294,5.61056555205565,2,2
17296,8.356294756117382,3,0
17297,7.450283783623472,2,3
17301,13.14922900936169,1,4
17303,12.031032769266922,4,2
17304,8.356294756117382,6,4
17307,13.198853574391512,2,2
17310,13.8,0,3
17311,11.766835879457043,3,5
17316,12.55480493374341,1,2
17317,10.71425401075792,2,3
17318,11.317040961531216,2,1
17321,7.5813644077819715,6,1
17324,13.8,0,1
17326,13.8,0,0
17327,12.55480493374341,5,2
17328,10.71425401075792,3,2
17331,11.472636476156389,4,2
17333,13.230111772921886,2,1
17336,11.766835879457043,5,2
17339,13.8,0,0
17346,11.007950132808553,4,2
17349,10.398502407966777,3,1
17350,11.766835879457043,6,4
17351,12.77131608967524,2,3
17352,13.8,0,0
17354,11.903627662592406,5,3
17355,11.56482052958491,7,4
17358,11.007950132808553,7,3
17362,12.55480493374341,3,2
17376,13.8,0,2
17378,13.8,0,0
17382,13.8,0,0
17383,13.8,0,0
17397,13.8,0,0
17407,13.8,0,0
17408,10.398502407966777,3,4
17422,13.8,0,0
17427,13.8,0,0
17431,13.8,0,0
17436,13.8,0,0
31342,0.001,28,15
31343,2.841325664222045,8,4
31344,8.06560019250075,4,9
31345,0.40814160124130494,12,2
31346,1.2972064222772546,4,5
31347,12.031032769266922,2,4
31348,6.829554589521826,5,5
31349,9.462953435380172,5,5
31350,11.56482052958491,5,7
31351,13.056632387368863,3,4
31352,9.017171205041503,4,7
31353,10.860805387276075,6,3
31354,8.841999739310916,3,3
31355,12.804875891454154,4,6
31356,9.78178393942305,4,2
31357,4.764322389615255,6,3
31358,13.14922900936169,1,4
31359,11.472636476156389,3,3
31360,2.841325664222045,5,1
31361,12.361172370658442,6,2
31362,12.977660855576495,3,4
31363,10.860805387276075,4,2
31364,13.010124756583883,2,3
31365,9.155686374365665,5,1
31366,13.010124756583883,4,2
31367,4.764322389615255,3,5
31368,13.14922900936169,5,3
31369,10.860805387276075,5,0
31370,12.977660855576495,4,4
31371,11.903627662592406,4,6
31372,12.445128288561726,3,3
31373,11.164723670049518,8,6
31374,9.92715903124954,4,1
31375,12.361172370658442,3,0
31376,11.56482052958491,4,1
31377,13.010124756583883,3,4
31378,11.766835879457043,4,4
31379,10.555201291724902,4,1
31380,9.627308552926124,4,1
31381,13.8,0,3
31382,12.182845139342968,2,5
31383,9.155686374365665,4,7
31384,8.688041270237905,3,2
31385,11.317040961531216,6,0
31386,10.398502407966777,2,6
31387,13.331918027921478,2,3
31388,12.894981355405132,1,2
31389,11.317040961531216,6,6
31390,11.56482052958491,2,4
31391,11.472636476156389,2,2
31392,8.688041270237905,4,2
31393,12.182845139342968,2,4
31394,6.511025527436423,9,1
31396,6.829554589521826,6,2
31397,12.804875891454154,5,1
31398,11.317040961531216,3,4
31399,12.182845139342968,1,5
31400,11.007950132808553,2,2
31401,13.8,0,3
31402,12.182845139342968,4,2
31403,12.977660855576495,1,3
31404,12.55480493374341,3,4
31405,10.083061130481992,7,3
31406,12.182845139342968,1,3
31407,5.410432554332628,5,4
31408,9.389280682850277,6,0
31409,13.104017017822397,1,3
31410,9.155686374365665,1,4
31412,8.688041270237905,6,3
31414,10.71425401075792,5,0
31415,12.804875891454154,4,4
31417,11.766835879457043,7,4
31418,11.007950132808553,3,1
31420,11.007950132808553,3,1
31421,12.445128288561726,3,1
31422,12.031032769266922,2,3
31423,11.317040961531216,2,3
31425,10.083061130481992,6,2
31426,8.688041270237905,1,2
31427,8.841999739310916,5,2
31428,11.317040961531216,2,2
31429,7.950232596370229,4,3
31430,12.361172370658442,4,3
31431,13.8,0,0
31433,11.164723670049518,3,4
31435,9.92715903124954,3,2
31439,12.894981355405132,2,2
31441,10.71425401075792,2,1
31442,10.555201291724902,3,5
31444,8.21393431111962,6,1
31450,3.870100791557793,3,0
31452,6.673014217597259,5,1
31453,13.331918027921478,1,0
31454,10.71425401075792,5,2
31455,11.766835879457043,2,4
31456,12.259335340432736,3,5
31457,12.445128288561726,2,1
