Galaxy ID,Stellar Mass [Mo],g band,r band,Probability is spiral
216027,5364985000.0,-17.654634,-18.406061,0.34352803230285645
216031,7236672000.0,-17.672112,-18.484785,0.3907582759857178
216033,5284261000.0,-18.523481,-19.042007,0.6139896512031555
216035,3460154000.0,-17.663277,-18.341127,0.6742736101150513
216040,3789471200.0,-16.882801,-17.721579,0.4423694312572479
217485,411816360000.0,-21.41392,-22.196976,0.6164307594299316
217486,304986820000.0,-21.727053,-22.412117,0.7554851770401001
217487,54205575000.0,-20.506151,-21.21624,0.13806572556495667
217488,72372690000.0,-20.749866,-21.50565,0.009731322526931763
217489,10525236000.0,-18.652796,-19.321476,0.3279426097869873
217490,6190076000.0,-18.063437,-18.73761,0.6080914735794067
217492,9988822000.0,-18.32111,-19.086613,0.3571009039878845
217493,7593572400.0,-18.13855,-18.895449,0.370645135641098
217495,5238912000.0,-20.422646,-20.530909,0.8482515215873718
219032,564451700000.0,-21.82817,-22.620872,0.7318230271339417
219033,86262055000.0,-20.604675,-21.38725,0.08050131797790527
219034,29392839000.0,-19.796898,-20.52581,0.34050676226615906
219035,19364190000.0,-19.499405,-20.109278,0.3419751822948456
219036,17149416000.0,-19.453339,-20.057936,0.5458106994628906
219037,12789273000.0,-18.852198,-19.470236,0.48449185490608215
219038,6998460400.0,-19.621048,-19.927446,0.8717519044876099
219040,4590246000.0,-19.018833,-19.355207,0.8660626411437988
219041,6123270700.0,-18.995724,-19.411898,0.656350314617157
219042,9710882000.0,-18.367945,-19.123487,0.3843747675418854
219043,8592990000.0,-18.382517,-19.11918,0.48201900720596313
219044,7128727600.0,-18.08578,-18.806026,0.42996305227279663
219045,8071635500.0,-18.281157,-19.024168,0.10346299409866333
